UID        PID  PPID  C STIME TTY          TIME CMD
root      1986     2  0 Sep12 ?        00:00:00 [kauditd]
root      1988  1868  0 Sep12 ?        00:02:09 /usr/sbin/winbindd -F
root      2000  1868  0 Sep12 ?        00:00:00 /usr/sbin/winbindd -F
lbl3m8    2222     1  0 11:17 ?        00:00:00 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/lbl3m8/Users/lbl3m8 /nethome/users/lbl3m8 -o nonempty,allow_root,dev,suid
root      2390     1  0 Sep12 ?        00:00:00 /usr/sbin/cupsd -f
colord    2570     1  0 Sep12 ?        00:00:09 /usr/lib/colord/colord
cywm94    3127 25602  0 18:27 pts/6    00:00:00 vim hw1.sh
root      3128  1019  0 18:27 ?        00:00:00 sshd: cywm94 [priv] 
cywm94    3180  3128  0 18:27 ?        00:00:00 sshd: cywm94@pts/8  
cywm94    3181  3180  0 18:27 pts/8    00:00:00 -bash
cywm94    3202     1  0 18:27 ?        00:00:00 /usr/bin/lsyncd -pidfile /tmp/cywm94.lsyncd -direct /usr/local/home/cywm94 /nethome/users/cywm94/linuxhome
any83     4444     1  0 13:53 ?        00:00:04 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/any83/Users/any83 /nethome/users/any83 -o nonempty,allow_root,dev,suid
eamp68    4775     1  0 17:23 ?        00:00:04 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/eamp68/Users/eamp68 /nethome/users/eamp68 -o nonempty,allow_root,dev,suid
cywm94    4907  3181  0 18:29 pts/8    00:00:00 script mySession1.txt
cywm94    4908  4907  0 18:29 pts/8    00:00:00 script mySession1.txt
cywm94    4909  4908  1 18:29 pts/11   00:00:00 bash -i
cywm94    4934  4909  0 18:29 pts/11   00:00:00 sh hw1.sh
cywm94    4935  4934  0 18:29 pts/11   00:00:00 ps -ef
root      7137     2  0 Sep12 ?        00:00:00 [cifsiod]
root      7168  1868  0 Sep12 ?        00:00:00 /usr/sbin/winbindd -F
root      7169  1868  0 Sep12 ?        00:00:00 /usr/sbin/winbindd -F
root      7696     2  0 10:54 ?        00:00:05 [cifsd]
syk99    11093     1  0 15:38 ?        00:00:10 /usr/bin/perl /usr/bin/dfshack /mnt/dfs/syk99/Users/syk99 /nethome/users/syk99 -o nonempty,allow_root,dev,suid
root     11103     2  0 15:38 ?        00:00:26 [kworker/0:2]
cavqm6   12682 23385  0 18:05 pts/4    00:00:00 jpico hw3.cpp
root     14728     2  0 10:00 ?        00:00:02 [kworker/u2:0]
